83332.Rv2230c	P9WFM1
83332.Rv3396c	P9WMS7
83332.Rv1771	P9WIT3
83332.Rv0006	P9WG47
83332.Rv0005	P9WG45
83332.Rv0475	P9WIP9
83332.Rv2092c	P9WMR1
83332.Rv0509	P9WMP7
83332.Rv0512	P9WMP5
83332.Rv0510	P9WMP3
83332.Rv1485	P9WNE3
83332.Rv1956	P9WJA7
83332.Rv2021c	O53467
83332.Rv3183	O53333
83332.Rv1955	P9WJA5
83332.Rv2022c	O53468
83332.Rv3182	O53332
83332.Rv2121c	P9WMN1
83332.Rv2122c	P9WMM9
83332.Rv1606	P9WMM7
83332.Rv1603	P9WMM5
83332.Rv1602	P9WMM1
83332.Rv1605	P9WMM3
83332.Rv1601	P9WML9
83332.Rv1600	P9WML7
83332.Rv3137	P95189
83332.Rv1599	P9WNW9
83332.Rv0600c	O07778
83332.Rv0601c	O07777
83332.Rv3534c	P9WMK5
83332.Rv3606c	P9WNC7
83332.Rv3624c	P9WHQ9
83332.Rv2374c	P9WMK3
83332.Rv2626c	P9WJA3
83332.Rv3570c	P9WJA1
83332.Rv3567c	P9WND9
83332.Rv3568c	P9WNW7
83332.Rv3569c	P9WNH5
83332.Rv2002	P9WGT1
83332.Rv2034	O53478
83332.Rv2299c	P9WMJ7
83332.Rv0563	P9WHS5
83332.Rv2711	P9WMH1
83332.Rv3339c	P9WKL1
83332.Rv1745c	P9WKK5
83332.Rv3462c	P9WKK3
83332.Rv2839c	P9WKK1
83332.Rv1641	P9WKJ9
83332.Rv1559	P9WG95
83332.Rv3003c	P9WG41
83332.Rv3470c	O06335
83332.Rv3001c	P9WKJ7
83332.Rv0189c	P9WKJ5
83332.Rv2210c	P9WQ75
83332.Rv1820	P9WG39
83332.Rv3002c	P9WKJ3
83332.Rv3509c	O53554
83332.Rv3411c	P9WKI7
83332.Rv1604	O53907
83332.Rv1484	P9WGR1
83332.Rv0342	P9WJ99
83332.Rv0341	P9WJ97
83332.Rv0343	P9WJ95
83332.Rv0046c	P9WKI1
83332.Rv2659c	P9WMB3
83332.Rv3628	P9WI55
83332.Rv1348	P9WQJ9
83332.Rv1349	P9WQJ7
83332.Rv3025c	P9WQ71
83332.Rv3582c	P9WKG9
83332.Rv1011	P9WKG7
83332.Rv3581c	P9WKG5
83332.Rv2868c	P9WKG3
83332.Rv1110	P9WKG1
83332.Rv3382c	P9WKF9
83332.Rv0733	P9WKF5
83332.Rv1908c	P9WIE5
83332.Rv1712	P9WPA9
83332.Rv0853c	P9WG37
83332.Rv1028c	P9WGL3
83332.Rv1027c	P9WGN1
83332.Rv1248c	P9WIS5
83332.Rv1389	P9WKE9
83332.Rv1296	P9WKE7
83332.Rv0827c	O53838
83332.Rv2455c	O53182
83332.Rv2454c	O53181
83332.Rv1017c	P9WKE3
83332.Rv1617	P9WKE5
83332.Rv3526	P71875
83332.Rv3571	P9WJ93
83332.Rv3557c	P9WMB9
83332.Rv3574	P96856
83332.Rv3247c	P9WKE1
83332.Rv0937c	P9WKD9
83332.Rv3290c	P9WQ77
83332.Rv0116c	O53638
83332.Rv2518c	I6Y9J2
83332.Rv1433	O06825
83332.Rv0192	O07436
83332.Rv0483	P9WKV3
83332.Rv2404c	P9WK97
83332.Rv2903c	P9WKA1
83332.Rv3710	P9WQB3
83332.Rv2995c	P9WKK9
83332.Rv2988c	P9WQF5
83332.Rv2987c	P9WK95
83332.Rv2720	P9WHR7
83332.Rv1614	P9WK93
83332.Rv3731	L0TDE1
83332.Rv0938	P9WNV3
83332.Rv2218	P9WK91
83332.Rv2217	P9WK83
83332.Rv3487c	O06350
83332.Rv3084	P9WK85
83332.Rv3203	L0TC47
83332.Rv1872c	P9WND5
83332.Rv1205	O05306
83332.Rv3303c	P9WHH7
83332.Rv2543	P9WK81
83332.Rv2544	P9WK79
83332.Rv2080	P9WK77
83332.Rv2116	P9WK75
83332.Rv2270	P9WK73
83332.Rv2290	P9WK71
83332.Rv2330c	P9WK69
83332.Rv2905	P9WK67
83332.Rv2945c	P9WK65
83332.Rv3244c	P9WK37
83332.Rv3584	P9WK63
83332.Rv3763	P9WK61
83332.Rv1016c	P9WK59
83332.Rv1064c	P9WK57
83332.Rv1166	P9WGU7
83332.Rv1235	P9WGU9
83332.Rv1270c	P9WK55
83332.Rv1274	P9WK53
83332.Rv1343c	P9WK51
83332.Rv1252c	P9WK49
83332.Rv1368	P9WK47
83332.Rv1411c	P9WK45
83332.Rv1418	P9WK43
83332.Rv1541c	P9WK41
83332.Rv0962c	P9WK39
83332.Rv1539	P9WK99
83332.Rv3597c	P9WIP7
83332.Rv1640c	P9WFU7
83332.Rv0127	O07177
83332.Rv1781c	P9WK23
83332.Rv2332	P9WK25
83332.Rv0734	P9WK21
83332.Rv2861c	P9WK19
83332.Rv1837c	P9WK17
83332.Rv0660c	O06779
83332.Rv1103c	O53451
83332.Rv1494	P9WJ91
83332.Rv1943c	P9WJ89
83332.Rv2063	P9WJ85
83332.Rv0456A	Q6MX40
83332.Rv0659c	P9WII1
83332.Rv1102c	P9WIH9
83332.Rv1495	P9WII5
83332.Rv1942c	P95272
83332.Rv1991c	P9WII3
83332.Rv4013	P0CL62
83332.Rv2274c	P9WIH7
83332.Rv2801c	P71650
83332.Rv1021	P96379
83332.Rv2383c	P9WQ63
83332.Rv2378c	P9WKF7
83332.Rv2377c	P9WIP5
83332.Rv2386c	P9WFX1
83332.Rv1347c	P9WK15
83332.Rv1344	P9WQF1
83332.Rv1345	P9WQ41
83332.Rv1346	P9WQF9
83332.Rv1082	P9WJN1
83332.Rv0586	P9WMG5
83332.Rv1698	P9WJ83
83332.Rv1240	P9WK13
83332.Rv0194	O53645
83332.Rv1334	P9WHS1
83332.Rv0534c	P9WIP3
83332.Rv0548c	P9WNP5
83332.Rv0553	P9WJP3
83332.Rv0555	P9WK11
83332.Rv0542c	P9WQ39
83332.Rv3215	P9WFW9
83332.Rv0558	P9WFR3
83332.Rv1079	P9WGB7
83332.Rv1133c	P9WK07
83332.Rv2124c	O33259
83332.Rv1392	P9WGV1
83332.Rv3341	P9WJY9
83332.Rv0391	P9WGB5
83332.Rv1020	P9WMQ5
83332.Rv1410c	P9WJY3
83332.Rv0692	P95038
83332.Rv0693	P9WJ79
83332.Rv0694	P9WND7
83332.Rv0695	P9WP59
83332.Rv0696	P9WMX1
83332.Rv0691c	P9WMB7
83332.Rv0557	P9WMY5
83332.Rv3592	P9WKH3
83332.Rv2727c	P9WJW1
83332.Rv2733c	P9WK05
83332.Rv0655	P9WQL5
83332.Rv0645c	P9WPB1
83332.Rv0644c	Q79FX6
83332.Rv0643c	P0CH91
83332.Rv0642c	Q79FX8
83332.Rv0402c	P9WJV9
83332.Rv0507	P9WJV7
83332.Rv0206c	P9WJV5
83332.Rv0450c	P9WJV3
83332.Rv0676c	P9WJV1
83332.Rv1557	P9WJU9
83332.Rv2942	P9WJU7
83332.Rv3823c	P9WJU5
83332.Rv2339	P9WJU3
83332.Rv1183	P9WJU1
83332.Rv0202c	P9WJT9
83332.Rv1522c	P9WJT7
83332.Rv0678	I6Y8F7
83332.Rv0403c	P9WJT5
83332.Rv0506	P9WJT3
83332.Rv2198c	P9WJT1
83332.Rv0451c	P9WJS9
83332.Rv0677c	P9WJS7
83332.Rv3065	P9WGF1
83332.Rv0751c	P9WNY5
83332.Rv3024c	P9WJS5
83332.Rv0924c	P9WIZ5
83332.Rv3109	P9WJS3
83332.Rv0869c	P9WJS1
