214684.XP_572079.1	Q9UQW8
214684.XP_571627.1	E0XG53
214684.XP_572079.1	E0XFW8
214684.XP_567026.1	Q8X0Z3
214684.XP_572925.1	Q8WZG1
214684.XP_571627.1	S5PPP5
214684.XP_571627.1	S5PTF9
214684.XP_567017.1	E0XG10
214684.XP_572079.1	Q9UQZ3
214684.XP_572079.1	S5Q8P8
214684.XP_567017.1	Q6L6Y8
214684.XP_567017.1	Q75WU4
214684.XP_568399.1	K9JZX6
214684.XP_571804.1	B3ITV8
214684.XP_567017.1	Q2Q4X2
214684.XP_566939.1	Q9HDG9
214684.XP_571804.1	Q9UQZ7
214684.XP_571772.1	Q2Q4J8
214684.XP_571627.1	Q2Q4Q5
214684.XP_570122.1	Q96TL1
214684.XP_571804.1	Q9UQZ6
214684.XP_568462.1	Q2Q4J2
214684.XP_572925.1	Q8WZF2
214684.XP_572079.1	B9TXI5
214684.XP_567104.1	Q2Q4L5
214684.XP_572079.1	B9TXI4
214684.XP_572079.1	E0XFT6
214684.XP_568105.1	B9U0N4
214684.XP_568399.1	B9U0X8
214684.XP_568399.1	B9U0X7
214684.XP_571772.1	E1VE04
214684.XP_571772.1	E1VE10
214684.XP_568462.1	E1VE85
214684.XP_571627.1	E1VEX8
214684.XP_571772.1	Q2Q4K0
214684.XP_571804.1	Q461N5
214684.XP_568399.1	K9JZV3
214684.XP_572079.1	Q9UQX9
214684.XP_569269.1	E1VD29
214684.XP_571627.1	E1VEX9
214684.XP_568105.1	B9U0Q4
214684.XP_568399.1	E1VDU1
214684.XP_572365.1	Q2Q4T5
214684.XP_568399.1	E1VDS4
214684.XP_572079.1	S5PPR2
214684.XP_569787.1	Q9HGG0
214684.XP_568399.1	E0XFP2
214684.XP_567800.1	Q2Q4U5
214684.XP_567121.1	O43140
214684.XP_571772.1	E1VE05
214684.XP_567800.1	E1VDB3
214684.XP_567800.1	E1VDB1
214684.XP_567017.1	Q8WZC0
214684.XP_571772.1	E1VE06
214684.XP_568399.1	E0XFP1
214684.XP_567017.1	Q6L6Y0
214684.XP_571804.1	Q59J31
214684.XP_566939.1	Q75PN9
214684.XP_567017.1	E0XFY0
214684.XP_572079.1	E0XFW6
214684.XP_571804.1	E0XG73
214684.XP_568462.1	G3CH05
214684.XP_567800.1	Q2Q4U1
214684.XP_572079.1	B9TXG4
214684.XP_568399.1	B9U0Y1
214684.XP_570285.1	K9K199
214684.XP_572079.1	K9K0X1
214684.XP_567800.1	Q2Q4T7
214684.XP_571627.1	Q2Q4R3
214684.XP_571627.1	C7BUB1
214684.XP_568801.1	Q9P8W9
214684.XP_570496.1	Q9HFT9
214684.XP_570869.1	Q8NIP0
214684.XP_571345.1	Q96VZ5
214684.XP_568796.1	Q9P8W8
214684.XP_572127.1	F5H9P1
214684.XP_572079.1	Q9UW62
214684.XP_572079.1	Q9UW55
214684.XP_572079.1	Q92230
214684.XP_571786.1	Q96W51
214684.XP_568524.1	A2V6A8
214684.XP_566845.1	B9U0G1
214684.XP_566672.1	A2V6A7
214684.XP_571951.1	A2V6A6
214684.XP_566845.1	B9U0H6
214684.XP_572079.1	B9TXI0
214684.XP_566845.1	B9U0I3
214684.XP_567017.1	Q00523
214684.XP_567017.1	E0XG23
214684.XP_566845.1	B9U0H9
214684.XP_566845.1	B9U0I1
214684.XP_572079.1	Q9UW61
214684.XP_572079.1	Q92231
214684.XP_571772.1	Q2Q4J7
214684.XP_567800.1	Q75PP8
214684.XP_566939.1	Q75PN8
214684.XP_572079.1	Q9UW56
214684.XP_566939.1	Q75PN5
214684.XP_569968.1	Q96UH1
214684.XP_571034.1	E5LBH1
214684.XP_566845.1	B9U0I9
214684.XP_570204.1	K9JZA5
214684.XP_567800.1	Q75PP7
214684.XP_572079.1	Q9UW67
214684.XP_568105.1	B9U0N8
214684.XP_572079.1	G3CH35
214684.XP_571627.1	S5Q8P3
214684.XP_566644.1	Q96VZ6
214684.XP_567974.1	A0JPR7
214684.XP_566845.1	B9U0J0
214684.XP_569787.1	Q00819
214684.XP_569787.1	Q75PM1
214684.XP_572079.1	Q9UW50
214684.XP_566845.1	B9U0H3
214684.XP_567017.1	K9K0A2
214684.XP_566845.1	B9U0G7
214684.XP_566845.1	B9U0H5
214684.XP_566845.1	B9U0I5
214684.XP_571804.1	A0A023IXV0
214684.XP_567017.1	Q9URK1
214684.XP_572079.1	Q9UW51
214684.XP_571772.1	Q2Q4J4
214684.XP_570943.1	K9JZ82
214684.XP_567913.1	A2V6A4
214684.XP_566845.1	B9U0G3
214684.XP_572079.1	Q9UW60
214684.XP_566845.1	B9U0H1
214684.XP_566845.1	B9U0G9
214684.XP_572079.1	Q9UW54
214684.XP_566845.1	B9U0H2
214684.XP_572079.1	Q9UW57
214684.XP_572410.1	A2V6A5
214684.XP_567017.1	Q6L6Y6
214684.XP_568571.1	O74242
214684.XP_572064.1	F5HCB8
214684.XP_572533.1	Q8NK56
214684.XP_568540.1	Q96TR5
214684.XP_566845.1	B9U0H4
214684.XP_566940.1	O59899
214684.XP_572018.1	O74649
214684.XP_567017.1	Q6L6Y5
214684.XP_572079.1	Q9UW64
214684.XP_572855.1	Q6YNJ4
214684.XP_569660.1	A2V6A3
214684.XP_572079.1	Q9UW58
214684.XP_568105.1	B9U0P6
214684.XP_567576.1	Q53I50
214684.XP_566845.1	B9U0H0
214684.XP_567017.1	Q6L6Y2
214684.XP_567870.1	M9QDB9
214684.XP_568105.1	B9U0P8
214684.XP_566939.1	Q75PN7
214684.XP_572925.1	Q8X232
214684.XP_569787.1	Q9HGF9
214684.XP_570549.1	Q9HFZ8
214684.XP_572079.1	Q9UW46
214684.XP_571772.1	E1VE22
214684.XP_566845.1	B9U0H8
214684.XP_566939.1	Q75PN1
214684.XP_566939.1	Q75PM9
214684.XP_571772.1	Q2Q4K1
214684.XP_567017.1	E0XG22
214684.XP_569689.1	E2IFI6
214684.XP_572079.1	Q9UW45
214684.XP_571772.1	G3CGX0
214684.XP_566845.1	B9U0H7
214684.XP_568105.1	B9U0Q9
214684.XP_572079.1	Q9UW65
214684.XP_572079.1	Q9UW44
214684.XP_567800.1	Q75PP3
214684.XP_567870.1	M9QEU2
214684.XP_567800.1	Q9HGG8
214684.XP_568424.1	Q96VZ8
214684.XP_566845.1	B9U0I0
214684.XP_572079.1	Q92232
214684.XP_571723.1	F5HFF4
214684.XP_567800.1	Q75PP5
214684.XP_566464.1	H9BPQ7
214684.XP_572003.1	Q96V00
214684.XP_566845.1	B9U0I6
214684.XP_567800.1	Q2Q4U4
214684.XP_567017.1	G3CGT5
214684.XP_572079.1	A0A0A0RDY9
214684.XP_566845.1	B9U0G5
214684.XP_566939.1	Q75PN0
214684.XP_566845.1	B9U0G4
214684.XP_567862.1	Q00811
214684.XP_568462.1	Q2Q4I8
214684.XP_567017.1	Q6L6Y3
