198214.SF3906	P0A9G1
198214.SF2234	P0AAG9
198214.SF1400	P64514
198214.SF0965	P0A733
198214.SF4326	P59197
198214.SF0621	Q83LY3
198214.SF1163	Q7UCU1
198214.SF1162	P0AEZ6
198214.SF1161	P0A737
198214.SF1441	P0A909
198214.SF2424	P43262
198214.SF3231	P64603
198214.SF3232	P0ADV8
198214.SF3234	P64609
198214.SF2960	Q83Q83
198214.SF2605	P0AGC6
198214.SF1152	Q83LF7
198214.SF2400	Q83QQ8
198214.SF3758	Q83PL3
198214.SF3821	Q83PJ6
198214.SF1405	Q7UCL3
198214.SF0731	Q83S40
198214.SF0733	P0A741
198214.SF0539	P59738
198214.SF0543	P0A9H0
198214.SF0010	P0AF05
198214.SF0084	P0A6W4
198214.SF0078	Q83MG1
198214.SF3289	P0A9X8
198214.SF0910	Q83LP0
198214.SF2909	P0C0S3
198214.SF4268	P0A745
198214.SF1445	Q83L66
198214.SF2045	Q83KK8
198214.SF3634	Q83PQ0
198214.SF0151	P0AF15
198214.SF1066	Q83RT9
198214.SF3202	P0AAD3
198214.SF0920	Q7ZAM1
198214.SF0919	Q7UD30
198214.SF0918	P60294
198214.SF3229	P0A751
198214.SF4050	Q83PC7
198214.SF0088	Q83MF8
198214.SF0085	Q83MF9
198214.SF0082	Q83MG0
198214.SF0087	Q83MN4
198214.SF4049	P63634
198214.SF2481	Q83QN4
198214.SF2482	Q83K75
198214.SF2841	Q83QC1
198214.SF4325	Q83P35
198214.SF2752	Q83QE9
198214.CP0147	P0A1I5
198214.CP0146	Q04640
198214.CP0145	Q04641
198214.CP0144	P0A2S7
198214.CP0136	P0A221
198214.CP0137	P0A223
198214.CP0138	P0A225
198214.CP0139	Q06081
198214.CP0140	P0A227
198214.CP0143	P0A1X2
198214.SF0554	Q93CP9
198214.SF0642	P0A753
198214.SF1486	Q83RG5
198214.SF2674	P0A7B4
198214.SF0615	P59688
198214.SF0617	P0AF23
198214.SF1123	Q83RR9
198214.SF1111	Q7UCW4
198214.SF3261	P0A6L6
198214.SF4211	P69858
198214.SF3259	P59442
198214.SF3258	P59437
198214.SF4212	Q83IN1
198214.SF3262	P0A8W1
198214.SF3260	P59699
198214.SF2290	Q83QV0
198214.SF2287	P0ABL4
198214.SF2291	P0A9I7
198214.SF2289	P0AAL5
198214.SF1228	Q83RN5
198214.SF1224	P0AF31
198214.SF1225	P0AFA4
198214.SF2564	P0A765
198214.SF2273	Q83KD8
198214.SF3799	P0ADL2
198214.SF4070	Q83MJ0
198214.SF3437	P63023
198214.SF0016	Q83SR3
198214.SF1175	Q83RQ5
198214.SF1181	Q83RQ1
198214.SF0017	P0A9G3
198214.SF3497	Q83J78
198214.SF3498	Q83J77
198214.SF3499	P0A6Z9
198214.SF3386	P0AC27
198214.SF2765	P0ADA4
198214.SF3204	P0AFB4
198214.SF2732	P59402
198214.SF2733	P59405
198214.SF2734	P59403
198214.SF1124	Q83RR8
198214.SF1008	P0A8G8
198214.SF2701	P0AC68
198214.SF2702	P0A775
198214.SF0350	O51824
198214.SF4130	Q83P93
198214.SF4132	P0AAK9
