,dG0_prime,dG0_prime_std,dGm_prime,logRI,formula
"{u'C00151': 1, u'C00073': -1, u'C00161': -1, u'C01180': 1}",-170.6,0.0,-170.6,-34.43,C00073 + C00161 <=> C00151 + C01180
"{u'C00054': -1, u'C00001': -1, u'C00009': 1, u'C00020': 1}",-8.74,3.07,-25.85,-6.96,C00001 + C00054 <=> C00009 + C00020
"{u'C00979': -1, u'C00320': -1, u'C05824': 1, u'C00033': 1}",-42.44,0.0,-42.44,-8.56,C00320 + C00979 <=> C00033 + C05824
"{u'C00080': -1, u'C00533': -2.0, u'C00006': 1, u'C00005': -1, u'C00001': 1, u'C00887': 1}",-288.25,6.66,-271.13,-43.77,C00005 + C00080 + 2 C00533 <=> C00001 + C00006 + C00887
"{u'C06627': 1, u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C06628': -1, u'C00001': 1}",-242.07,100000.0,-224.95,-36.32,C00005 + C00007 + C00080 + C06628 <=> C00001 + C00006 + C06627
"{u'C00010': 1, u'C00009': -1, u'C00008': -1, u'C05668': -1, u'C00002': 1, u'C01013': 1}",-10.94,3.24,-10.94,-1.47,C00008 + C00009 + C05668 <=> C00002 + C00010 + C01013
"{u'C04652': -1, u'C04932': 1, u'C00015': 1, u'C04824': -1}",-24.02,1.74,-24.02,-4.85,C04652 + C04824 <=> C00015 + C04932
"{u'C00151': -2, u'C16116': 1, u'C00002': -1, u'C00009': 1, u'C00008': 1}",44.41,0.0,44.41,5.97,C00002 + 2 C00151 <=> C00008 + C00009 + C16116
"{u'C03107': 1, u'C00006': -1, u'C00005': 1, u'C00031': -1, u'C00080': 1}",-7.77,2.1,-7.77,-1.57,C00006 + C00031 <=> C00005 + C00080 + C03107
"{u'C00055': 1, u'C00513': -1, u'C00093': 1, u'C00001': -1}",-40.54,2.39,-57.65,-15.51,C00001 + C00513 <=> C00055 + C00093
"{u'C00445': -1, u'C00234': 1, u'C00001': -1, u'C00080': 1}",-5.7,0.92,-5.7,-2.3,C00001 + C00445 <=> C00080 + C00234
"{u'C00226': -1, u'C00004': 1, u'C00003': -1, u'C00071': 1, u'C00080': 1}",40.03,0.0,40.03,8.08,C00003 + C00226 <=> C00004 + C00071 + C00080
"{u'C00011': 1, u'C03824': 1, u'C04409': -1}",-14.87,3.33,-31.99,-8.61,C04409 <=> C00011 + C03824
"{u'C00006': -1, u'C00005': 1, u'C00295': 1, u'C00337': -1, u'C00080': 1}",10.45,1.26,10.45,2.11,C00006 + C00337 <=> C00005 + C00080 + C00295
"{u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 2.0, u'C00097': -1, u'C17241': -1, u'C17242': 1}",-435.61,6.0,-401.38,-54.0,C00005 + C00007 + C00080 + C00097 + C17241 <=> 2 C00001 + C00006 + C17242
"{u'C00025': 1, u'C00026': -1, u'C05527': 1, u'C00606': -1}",-8.61,1.84,-8.61,-1.74,C00026 + C00606 <=> C00025 + C05527
"{u'C00019': -1, u'C00073': 1, u'C05198': 1, u'C17580': -1, u'C17581': 1}",-21.22,100000.0,-38.34,-6.19,C00019 + C17580 <=> C00073 + C05198 + C17581
"{u'C06611': 1, u'C01327': 1, u'C06609': -1, u'C00001': -1}",-43.27,0.0,-60.38,-16.25,C00001 + C06609 <=> C01327 + C06611
"{u'C00010': -1, u'C00013': 1, u'C00020': 1, u'C02370': -1, u'C00002': -1, u'C06387': 1}",-4.72,3.69,-4.72,-0.64,C00002 + C00010 + C02370 <=> C00013 + C00020 + C06387
"{u'C00431': 1, u'C00014': 1, u'C00990': -1, u'C00001': -1}",-11.2,2.23,-28.32,-7.62,C00001 + C00990 <=> C00014 + C00431
"{u'C00043': -1, u'C17587': 1, u'C00015': 1, u'C01759': -1}",-17.08,3.49,-17.08,-3.45,C00043 + C01759 <=> C00015 + C17587
"{u'C00054': 1, u'C00069': -1, u'C02000': 1, u'C00053': -1}",-0.02,0.0,-0.02,-0.0,C00053 + C00069 <=> C00054 + C02000
"{u'C00080': -1, u'C00007': -1, u'C00004': -1, u'C00003': 1, u'C01215': 1, u'C01270': -1}",-381.26,4.37,-364.14,-58.79,C00004 + C00007 + C00080 + C01270 <=> C00003 + C01215
"{u'C00788': -1, u'C00027': 1, u'C00007': -1, u'C00001': -1, u'C00218': 1, u'C05577': 1}",-88.07,6.39,-105.18,-16.98,C00001 + C00007 + C00788 <=> C00027 + C00218 + C05577
"{u'C00003': 1, u'C00080': -1, u'C00004': -1, u'C02513': -1, u'C16496': 1}",-3.82,1.54,-3.82,-0.77,C00004 + C00080 + C02513 <=> C00003 + C16496
"{u'C00060': 1, u'C00085': 1, u'C00095': -1, u'C02133': -1}",-45.77,0.0,-45.77,-9.24,C00095 + C02133 <=> C00060 + C00085
"{u'C00010': 1, u'C16317': 1, u'C00001': -1, u'C16339': -1}",-27.2,1.45,-44.32,-11.93,C00001 + C16339 <=> C00010 + C16317
"{u'C00018': 1, u'C00647': -1, u'C00133': 1, u'C00022': -1}",-2.0,2.19,-2.0,-0.4,C00022 + C00647 <=> C00018 + C00133
"{u'C19788': -1, u'C19789': 1, u'C00014': 1, u'C00001': -1}",-20.23,1.93,-37.34,-10.05,C00001 + C19788 <=> C00014 + C19789
"{u'C00011': 1, u'C00014': 1, u'C00213': 1, u'C00001': -1, u'C01043': -1}",-26.82,7.38,-61.05,-12.32,C00001 + C01043 <=> C00011 + C00014 + C00213
"{u'C00164': 1, u'C00024': 1, u'C00332': -1, u'C00033': -1}",-5.73,1.42,-5.73,-1.16,C00033 + C00332 <=> C00024 + C00164
"{u'C03161': 1, u'C00007': -1, u'C00067': 1, u'C01516': -1, u'C00001': 1, u'C11785': 1, u'C03024': -1}",84.94,0.0,84.94,11.43,C00007 + C01516 + C03024 <=> C00001 + C00067 + C03161 + C11785
"{u'C06339': 1, u'C06338': -1, u'C00080': -1, u'C00007': -1, u'C00004': -1, u'C00003': 1}",-348.72,6.37,-331.61,-53.54,C00004 + C00007 + C00080 + C06338 <=> C00003 + C06339
"{u'C07645': -1, u'C07646': 1, u'C00080': 1, u'C00006': -1, u'C00005': 1, u'C00001': -1}",-91.38,0.0,-91.38,-18.44,C00001 + C00006 + C07645 <=> C00005 + C00080 + C07646
"{u'C02429': 1, u'C00017': -1, u'C02047': -1, u'C00066': 1}",0.0,0.0,0.0,0.0,C00017 + C02047 <=> C00066 + C02429
"{u'C00013': 1, u'C05686': 1, u'C00002': -1, u'C05697': -1}",2.56,0.0,2.56,0.52,C00002 + C05697 <=> C00013 + C05686
"{u'C00011': 1, u'C00082': -1, u'C00080': -2.0, u'C00007': -2.0, u'C00006': 2.0, u'C00005': -2.0, u'C00001': 3.0, u'C04353': 1}",-760.73,141421.36,-743.62,-66.7,2 C00005 + 2 C00007 + 2 C00080 + C00082 <=> 3 C00001 + 2 C00006 + C00011 + C04353
"{u'C16639': 1, u'C08353': -1}",1.89,0.99,1.89,0.76,C08353 <=> C16639
"{u'C03460': 1, u'C00630': -1, u'C00028': -1, u'C00030': 1}",-84.91,0.0,-84.91,-17.14,C00028 + C00630 <=> C00030 + C03460
"{u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 1, u'C11036': -1, u'C14839': 1}",-428.37,100000.0,-411.26,-66.4,C00005 + C00007 + C00080 + C11036 <=> C00001 + C00006 + C14839
"{u'C00013': 1, u'C00498': 1, u'C00002': -1, u'C00103': -1}",-7.03,1.37,-7.03,-1.42,C00002 + C00103 <=> C00013 + C00498
"{u'C05600': -1, u'C05601': 1, u'C00001': -1}",-0.72,1.48,-0.72,-0.29,C00001 + C05600 <=> C05601
"{u'C08614': 1, u'C08579': -1, u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 1}",-287.74,200000.0,-270.63,-43.69,C00005 + C00007 + C00080 + C08579 <=> C00001 + C00006 + C08614
"{u'C11879': -1, u'C11883': 1}",-157.09,0.68,-157.09,-63.4,C11879 <=> C11883
"{u'C00010': 1, u'C00525': -1, u'C00083': -1, u'C03414': 1}",-24.32,1.86,-24.32,-4.91,C00083 + C00525 <=> C00010 + C03414
"{u'C07721': 1, u'C00080': -1, u'C00007': -1, u'C00004': -1, u'C00003': 1, u'C07715': -1}",-323.27,12.94,-306.16,-49.43,C00004 + C00007 + C00080 + C07715 <=> C00003 + C07721
"{u'C01245': 1, u'C00001': -1, u'C00009': 1, u'C01272': -1}",-1.97,1.4,-19.09,-5.14,C00001 + C01272 <=> C00009 + C01245
"{u'C00010': 1, u'C00024': -1, u'C02560': 1, u'C01589': -1}",17.21,1.46,17.21,3.47,C00024 + C01589 <=> C00010 + C02560
"{u'C00007': -1, u'C18262': 1, u'C00001': 1, u'C18259': -1}",84.91,0.0,102.03,27.45,C00007 + C18259 <=> C00001 + C18262
"{u'C04573': -1, u'C13952': 1}",0.0,0.0,0.0,0.0,C04573 <=> C13952
"{u'C00139': 1, u'C04226': 1, u'C01020': -1, u'C00138': -1}",-43.41,4.83,-43.41,-8.76,C00138 + C01020 <=> C00139 + C04226
"{u'C00341': -1, u'C00013': 1, u'C06074': 1}",-25.87,3.59,-42.98,-11.57,C00341 <=> C00013 + C06074
"{u'C00601': 1, u'C00011': 1, u'C00166': -1}",-26.19,5.45,-43.31,-11.65,C00166 <=> C00011 + C00601
"{u'C00010': 1, u'C00024': -1, u'C05220': -1, u'C05322': 1}",0.12,0.0,0.12,0.03,C00024 + C05220 <=> C00010 + C05322
"{u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 1, u'C00590': -1, u'C12205': 1}",-445.27,3.72,-428.16,-69.12,C00005 + C00007 + C00080 + C00590 <=> C00001 + C00006 + C12205
"{u'C00010': 1, u'C00024': -1, u'C19757': 1, u'C08492': -1}",-0.76,2.5,-0.76,-0.15,C00024 + C08492 <=> C00010 + C19757
"{u'C00011': 1, u'C04052': -1, u'C03063': 1}",-14.52,3.11,-31.64,-8.51,C04052 <=> C00011 + C03063
"{u'C00080': -2.0, u'C01327': 1, u'C06793': 1, u'C06792': -1}",41.65,0.0,24.53,6.6,2 C00080 + C06792 <=> C01327 + C06793
"{u'C00014': 1, u'C07086': 1, u'C00001': -2.0, u'C16074': -1}",2.46,70710.68,-14.66,-3.94,2 C00001 + C16074 <=> C00014 + C07086
"{u'C00010': 1, u'C00024': -1, u'C12452': 1, u'C00729': -1}",5.19,2.26,5.19,1.05,C00024 + C00729 <=> C00010 + C12452
"{u'C00025': 1, u'C00671': 1, u'C00026': -1, u'C00407': -1}",-4.32,3.54,-4.32,-0.87,C00026 + C00407 <=> C00025 + C00671
"{u'C00341': -1, u'C11393': 1}",1603.3,6.22,1603.3,647.11,C00341 <=> C11393
"{u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 1, u'C13273': 1, u'C09094': -1}",-392.94,3.13,-375.82,-60.67,C00005 + C00007 + C00080 + C09094 <=> C00001 + C00006 + C13273
"{u'C18356': -1, u'C12434': 1, u'C00001': 1}",-69.84,3.7,-69.84,-28.19,C18356 <=> C00001 + C12434
"{u'C00531': 1, u'C00001': 1, u'C01011': -1}",4.63,1.6,4.63,1.87,C01011 <=> C00001 + C00531
"{u'C00080': 1, u'C06202': -1, u'C00004': 1, u'C00003': -1, u'C00001': -1, u'C00805': 1}",-41.26,1.12,-41.26,-8.33,C00001 + C00003 + C06202 <=> C00004 + C00080 + C00805
"{u'C06728': 1, u'C00080': 1, u'C00004': 1, u'C00003': -1, u'C06727': -1}",-29.05,5.85,-29.05,-5.86,C00003 + C06727 <=> C00004 + C00080 + C06728
"{u'C00019': -1, u'C04831': 1, u'C00021': 1, u'C18062': -1}",-10.63,100000.0,-10.63,-2.14,C00019 + C18062 <=> C00021 + C04831
"{u'C04442': -1, u'C00118': 1, u'C00022': 1}",16.31,2.09,-0.8,-0.22,C04442 <=> C00022 + C00118
"{u'C00120': -1, u'C00013': 1, u'C00002': -1, u'C05921': 1}",1168.02,100000.0,1168.02,235.71,C00002 + C00120 <=> C00013 + C05921
"{u'C00065': 1, u'C03927': 1, u'C04771': -1, u'C00001': -1}",-5.23,2.04,-22.34,-6.01,C00001 + C04771 <=> C00065 + C03927
"{u'C01280': 1, u'C00008': 1, u'C01221': -1, u'C00002': -1}",-10.56,1.22,-10.56,-2.13,C00002 + C01221 <=> C00008 + C01280
"{u'C00013': 1, u'C00190': 1, u'C03737': -1, u'C00075': -1}",-1.38,1.75,-1.38,-0.28,C00075 + C03737 <=> C00013 + C00190
"{u'C16324': 1, u'C16321': -1, u'C00001': 1}",0.0,0.0,0.0,0.0,C16321 <=> C00001 + C16324
"{u'C00601': 1, u'C02083': -1}",-17.85,3.05,-17.85,-7.21,C02083 <=> C00601
"{u'C00007': -1, u'C13634': -1, u'C00156': 1, u'C13635': 1}",-476.09,3.2,-476.09,-96.08,C00007 + C13634 <=> C00156 + C13635
"{u'C00013': 1, u'C11880': 1, u'C11901': -1}",-142.85,17.34,-159.96,-43.04,C11901 <=> C00013 + C11880
"{u'C06758': 1, u'C00004': 1, u'C00003': -1, u'C06757': -1, u'C00080': 1}",20.62,1.01,20.62,4.16,C00003 + C06757 <=> C00004 + C00080 + C06758
"{u'C05823': -1, u'C00004': 1, u'C00003': -1, u'C00957': 1, u'C00080': 1}",18.12,0.98,18.12,3.66,C00003 + C05823 <=> C00004 + C00080 + C00957
"{u'C00080': -1, u'C00007': -1, u'C00004': -1, u'C00003': 1, u'C00001': 2.0, u'C01189': -1, u'C01164': 1}",-443.62,8.36,-426.51,-68.86,C00004 + C00007 + C00080 + C01189 <=> 2 C00001 + C00003 + C01164
"{u'C00025': 1, u'C01879': -1, u'C00009': 1, u'C00008': 1, u'C00002': -1, u'C00001': -2.0}",-7.64,3.16,-24.76,-4.0,2 C00001 + C00002 + C01879 <=> C00008 + C00009 + C00025
"{u'C00025': 1, u'C00555': 1, u'C00026': -1, u'C00134': -1}",3.38,1.9,3.38,0.68,C00026 + C00134 <=> C00025 + C00555
"{u'C00025': -2.0, u'C00026': 1, u'C00080': 1, u'C00006': -1, u'C00005': 1, u'C00064': 1}",46.68,0.95,46.68,6.28,C00006 + 2 C00025 <=> C00005 + C00026 + C00064 + C00080
"{u'C18073': 1, u'C00019': -1, u'C00021': 1, u'C18072': -1}",-10.93,100000.0,-10.93,-2.21,C00019 + C18072 <=> C00021 + C18073
"{u'C00010': 1, u'C00024': -1, u'C00025': -1, u'C00624': 1}",-30.2,3.29,-30.2,-6.1,C00024 + C00025 <=> C00010 + C00624
"{u'C00011': 1, u'C01839': -1, u'C00727': 1}",-8.92,3.33,-26.04,-7.01,C01839 <=> C00011 + C00727
"{u'C05345': 1, u'C00668': -1}",-0.04,1.55,-0.04,-0.02,C00668 <=> C05345
"{u'C16651': 1, u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 1, u'C07185': -1}",-395.06,3.1,-377.94,-61.02,C00005 + C00007 + C00080 + C07185 <=> C00001 + C00006 + C16651
"{u'C00349': 1, u'C00041': 1, u'C00022': -1, u'C01205': -1}",-0.89,1.93,-0.89,-0.18,C00022 + C01205 <=> C00041 + C00349
"{u'C00063': -1, u'C00354': 1, u'C00085': -1, u'C00112': 1}",-17.23,2.41,-17.23,-3.48,C00063 + C00085 <=> C00112 + C00354
"{u'C03198': -1, u'C05343': 1}",0.0,0.0,0.0,0.0,C03198 <=> C05343
"{u'C00007': -1, u'C01394': 1, u'C00027': 1, u'C00379': -1}",-126.49,4.68,-126.49,-25.53,C00007 + C00379 <=> C00027 + C01394
"{u'C00735': -1, u'C05489': 1, u'C00004': -1, u'C00003': 1, u'C00080': -1}",-3.82,1.54,-3.82,-0.77,C00004 + C00080 + C00735 <=> C00003 + C05489
"{u'C00226': -1, u'C05357': -2.0, u'C05358': 2.0, u'C00071': 1, u'C00080': 2.0}",0.0,0.0,0.0,0.0,C00226 + 2 C05357 <=> C00071 + 2 C00080 + 2 C05358
"{u'C00256': -1, u'C00009': 1, u'C00008': 1, u'C00133': -1, u'C00002': -1, u'C19694': 1}",-4.77,3.75,-4.77,-0.64,C00002 + C00133 + C00256 <=> C00008 + C00009 + C19694
"{u'C00006': -1, u'C00005': 1, u'C01292': 1, u'C04661': -1, u'C00080': 1}",4.01,1.56,4.01,0.81,C00006 + C04661 <=> C00005 + C00080 + C01292
"{u'C01516': -1, u'C00004': 1, u'C00003': -1, u'C01735': 1, u'C00080': 1}",-45.01,0.0,-45.01,-9.08,C00003 + C01516 <=> C00004 + C00080 + C01735
"{u'C03087': -1, u'C00431': 1, u'C00033': 1, u'C00001': -1}",-8.11,1.8,-25.23,-6.79,C00001 + C03087 <=> C00033 + C00431
"{u'C09614': 1, u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C09762': -1, u'C00001': 1}",-439.04,3.57,-421.92,-68.12,C00005 + C00007 + C00080 + C09762 <=> C00001 + C00006 + C09614
"{u'C18910': 1, u'C00080': -1, u'C00004': -1, u'C00003': 1, u'C01304': -1}",-23.96,1.51,-23.96,-4.83,C00004 + C00080 + C01304 <=> C00003 + C18910
"{u'C04146': -1, u'C00129': 1, u'C00013': -1, u'C04216': 1}",75.42,2.92,75.42,15.22,C00013 + C04146 <=> C00129 + C04216
"{u'C00033': 1, u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 1, u'C01176': -1, u'C00280': 1}",-510.69,3.57,-510.69,-68.71,C00005 + C00007 + C00080 + C01176 <=> C00001 + C00006 + C00033 + C00280
"{u'C00010': 1, u'C00024': -1, u'C16330': 1, u'C16331': -1}",32.46,1.35,32.46,6.55,C00024 + C16331 <=> C00010 + C16330
"{u'C00011': 1, u'C00079': -1, u'C00080': -2.0, u'C00007': -2.0, u'C00006': 2.0, u'C00005': -2.0, u'C00001': 3.0, u'C16075': 1}",-721.16,141421.36,-704.04,-63.15,2 C00005 + 2 C00007 + C00079 + 2 C00080 <=> 3 C00001 + 2 C00006 + C00011 + C16075
"{u'C00078': -1, u'C00013': 1, u'C00235': -1, u'C04290': 1}",-87.83,5.89,-87.83,-17.72,C00078 + C00235 <=> C00013 + C04290
"{u'C00010': 2.0, u'C00011': 1, u'C00223': -1, u'C17740': -1, u'C17743': 1, u'C00001': -1}",-13.98,3.9,-48.21,-6.49,C00001 + C00223 + C17740 <=> 2 C00010 + C00011 + C17743
"{u'C00025': 1, u'C00026': -1, u'C03232': 1, u'C01005': -1}",11.06,0.38,11.06,2.23,C00026 + C01005 <=> C00025 + C03232
"{u'C00011': 1, u'C00026': -1, u'C00389': 1, u'C00007': -1, u'C00001': 1, u'C00042': 1, u'C01617': -1}",-241.48,141421.36,-241.48,-32.49,C00007 + C00026 + C01617 <=> C00001 + C00011 + C00042 + C00389
"{u'C00080': -2.0, u'C00006': 2.0, u'C00005': -2.0, u'C00001': 1, u'C16391': -1, u'C16392': 1}",-157.47,141421.36,-157.47,-21.19,2 C00005 + 2 C00080 + C16391 <=> C00001 + 2 C00006 + C16392
"{u'C00030': 1, u'C01920': 1, u'C00028': -1, u'C16464': -1}",-84.91,0.0,-84.91,-17.14,C00028 + C16464 <=> C00030 + C01920
"{u'C00543': 1, u'C00067': 1, u'C01104': -1}",-188.0,5.32,-205.11,-55.19,C01104 <=> C00067 + C00543
"{u'C00007': -1, u'C03671': 1, u'C00132': 1, u'C05616': -1}",-16.15,100000.0,-16.15,-3.26,C00007 + C05616 <=> C00132 + C03671
"{u'C04634': 1, u'C00080': -1, u'C00007': -1, u'C00004': -1, u'C00003': 1, u'C00180': -1}",-338.96,8.09,-321.84,-51.96,C00004 + C00007 + C00080 + C00180 <=> C00003 + C04634
"{u'C00020': 1, u'C00009': 1, u'C00002': -1, u'C00001': -1, u'C05172': 1, u'C01528': -1}",-127.36,0.0,-144.47,-23.32,C00001 + C00002 + C01528 <=> C00009 + C00020 + C05172
"{u'C00010': 4.0, u'C00011': 3.0, u'C00323': -1, u'C00083': -3.0, u'C15525': 1}",41.95,100000.0,-26.51,-1.78,3 C00083 + C00323 <=> 4 C00010 + 3 C00011 + C15525
"{u'C05220': -1, u'C00006': -1, u'C00005': 1, u'C05179': 1, u'C00080': 1}",-49.03,0.0,-49.03,-9.9,C00006 + C05220 <=> C00005 + C00080 + C05179
"{u'C00003': -1, u'C00004': 1, u'C07213': -1, u'C07214': 1, u'C00080': 1}",20.62,1.01,20.62,4.16,C00003 + C07213 <=> C00004 + C00080 + C07214
"{u'C00037': 1, u'C00048': -1, u'C00065': -1, u'C00168': 1}",-4.26,1.74,-4.26,-0.86,C00048 + C00065 <=> C00037 + C00168
"{u'C04631': 1, u'C00004': 1, u'C00003': -1, u'C01050': -1, u'C00080': 1}",58.24,1.25,58.24,11.75,C00003 + C01050 <=> C00004 + C00080 + C04631
"{u'C00061': 1, u'C00080': 1, u'C00004': 1, u'C00003': -1, u'C01847': -1}",19.18,3.01,19.18,3.87,C00003 + C01847 <=> C00004 + C00061 + C00080
"{u'C00080': -1, u'C00006': 1, u'C00005': -1, u'C16630': 1, u'C07649': -1}",168.4,100000.0,168.4,33.98,C00005 + C00080 + C07649 <=> C00006 + C16630
"{u'C04559': -1, u'C04112': 1}",-8.98,3.56,-8.98,-3.63,C04559 <=> C04112
"{u'C05947': 1, u'C00080': 1, u'C04281': -1, u'C00006': -1, u'C00005': 1, u'C00001': -2.0}",-37.5,4.75,-37.5,-7.57,2 C00001 + C00006 + C04281 <=> C00005 + C00080 + C05947
"{u'C00568': -1, u'C00011': 1, u'C00292': 1}",-8.91,3.33,-26.02,-7.0,C00568 <=> C00011 + C00292
"{u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 1, u'C00067': 1, u'C07480': -1, u'C16353': 1}",-415.74,3.69,-415.74,-55.93,C00005 + C00007 + C00080 + C07480 <=> C00001 + C00006 + C00067 + C16353
"{u'C06655': -1, u'C06656': 1, u'C00013': 1, u'C00002': -1, u'C00020': 1}",-0.79,7.46,-17.91,-2.89,C00002 + C06655 <=> C00013 + C00020 + C06656
"{u'C17212': 1, u'C17210': -1}",6.39,0.65,6.39,2.58,C17210 <=> C17212
"{u'C00054': 1, u'C00059': 1, u'C00001': -1, u'C00053': -1}",-88.37,5.7,-105.48,-28.38,C00001 + C00053 <=> C00054 + C00059
"{u'C00011': -1, u'C06030': 1, u'C00109': -1}",21.24,4.85,38.35,10.32,C00011 + C00109 <=> C06030
"{u'C00003': -1, u'C00004': 1, u'C18235': -1, u'C06718': 1, u'C00080': 1}",-19.67,2.97,-19.67,-3.97,C00003 + C18235 <=> C00004 + C00080 + C06718
"{u'C02721': -1, u'C00022': 1, u'C00006': -1, u'C00005': 1, u'C00080': 1, u'C00001': -1, u'C00218': 1}",39.4,4.83,22.29,3.6,C00001 + C00006 + C02721 <=> C00005 + C00022 + C00080 + C00218
"{u'C00068': -1, u'C05125': 1, u'C00900': -1, u'C00022': 1}",2.8,1.9,2.8,0.56,C00068 + C00900 <=> C00022 + C05125
"{u'C00055': 1, u'C00035': 1, u'C00475': -1, u'C00044': -1}",-9.53,3.05,-9.53,-1.92,C00044 + C00475 <=> C00035 + C00055
"{u'C00003': -1, u'C01068': -1, u'C00004': 1, u'C00199': 1, u'C00080': 1}",20.21,1.76,20.21,4.08,C00003 + C01068 <=> C00004 + C00080 + C00199
"{u'C03561': -1, u'C00877': 1, u'C00001': 1}",4.24,2.96,4.24,1.71,C03561 <=> C00001 + C00877
"{u'C00011': 1, u'C00026': -1, u'C00007': -1, u'C00042': 1, u'C03957': 1, u'C02871': -1}",-0.02,0.0,-0.02,-0.0,C00007 + C00026 + C02871 <=> C00011 + C00042 + C03957
"{u'C04442': 1, u'C00345': -1, u'C00001': 1}",-43.06,2.61,-43.06,-17.38,C00345 <=> C00001 + C04442
"{u'C00224': -1, u'C00020': 1, u'C00001': -1, u'C00059': 1}",-86.37,1.29,-103.48,-27.85,C00001 + C00224 <=> C00020 + C00059
"{u'C00042': 1, u'C00904': 1, u'C00815': -1, u'C00091': -1}",-3.13,1.64,-3.13,-0.63,C00091 + C00815 <=> C00042 + C00904
"{u'C00580': -1, u'C11143': 1, u'C05819': 1, u'C00001': -1, u'C00828': -1}",203.98,4.26,203.98,41.16,C00001 + C00580 + C00828 <=> C05819 + C11143
"{u'C00080': -1, u'C00006': 1, u'C00005': -1, u'C17440': 1, u'C17439': -1}",-57.01,1.8,-57.01,-11.51,C00005 + C00080 + C17439 <=> C00006 + C17440
"{u'C03277': 1, u'C00004': 1, u'C00003': -1, u'C03817': -1, u'C00080': 1}",18.17,0.98,18.17,3.67,C00003 + C03817 <=> C00004 + C00080 + C03277
"{u'C02659': -1, u'C00207': 1, u'C00177': 1}",-0.03,0.0,-17.14,-4.61,C02659 <=> C00177 + C00207
"{u'C00010': 1, u'C00024': -1, u'C01678': -1, u'C03537': 1}",7.76,1.49,7.76,1.57,C00024 + C01678 <=> C00010 + C03537
"{u'C00058': 1, u'C16156': -1, u'C16157': 1, u'C00001': -1}",-27.95,5.34,-45.07,-12.13,C00001 + C16156 <=> C00058 + C16157
"{u'C00010': 1, u'C00024': -1, u'C01996': 1, u'C00114': -1}",-9.67,1.0,-9.67,-1.95,C00024 + C00114 <=> C00010 + C01996
"{u'C06485': -1, u'C00001': 1, u'C19821': 1}",-32.17,3.41,-32.17,-12.99,C06485 <=> C00001 + C19821
"{u'C00014': 1, u'C00835': -1, u'C02333': 1, u'C00001': -1}",4.83,100000.0,-12.29,-3.31,C00001 + C00835 <=> C00014 + C02333
"{u'C13747': 1, u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00067': 1, u'C00001': 1, u'C07481': -1}",-416.74,3.69,-416.74,-56.07,C00005 + C00007 + C00080 + C07481 <=> C00001 + C00006 + C00067 + C13747
"{u'C00080': -1, u'C00007': -1, u'C00004': -1, u'C00003': 1, u'C00067': 1, u'C06672': -1, u'C00001': 1, u'C00230': 1}",-364.76,3.83,-364.76,-49.07,C00004 + C00007 + C00080 + C06672 <=> C00001 + C00003 + C00067 + C00230
"{u'C05839': 1, u'C05158': -1}",0.0,0.0,0.0,0.0,C05158 <=> C05839
"{u'C19827': 1, u'C14827': -1, u'C00001': 1}",-0.0,0.0,-0.0,-0.0,C14827 <=> C00001 + C19827
"{u'C00080': -1, u'C00007': -1, u'C00004': -1, u'C00003': 1, u'C11588': 1, u'C05629': -1}",-393.68,6.72,-376.56,-60.79,C00004 + C00007 + C00080 + C05629 <=> C00003 + C11588
"{u'C11957': 1, u'C11955': -1, u'C11921': -1, u'C00363': 1}",-17.3,2.19,-17.3,-3.49,C11921 + C11955 <=> C00363 + C11957
"{u'C01953': -1, u'C00030': -1, u'C00007': -1, u'C00028': 1, u'C00001': 1, u'C05485': 1}",84.91,0.0,102.03,16.47,C00007 + C00030 + C01953 <=> C00001 + C00028 + C05485
"{u'C00014': 1, u'C01185': 1, u'C00455': -1, u'C00001': -1}",3.95,5.47,-13.17,-3.54,C00001 + C00455 <=> C00014 + C01185
"{u'C00539': 1, u'C00080': 1, u'C00004': 1, u'C00003': -1, u'C00001': -1, u'C00193': -1}",-41.61,1.12,-41.61,-8.4,C00001 + C00003 + C00193 <=> C00004 + C00080 + C00539
"{u'C06635': 1, u'C00363': -1, u'C06630': -1, u'C11916': 1}",17.3,2.19,17.3,3.49,C00363 + C06630 <=> C06635 + C11916
"{u'C00151': -1, u'C00161': 1, u'C17232': -1, u'C17233': 1}",170.61,0.0,170.61,34.43,C00151 + C17232 <=> C00161 + C17233
"{u'C00011': 1, u'C00026': -1, u'C00007': -1, u'C00526': -1, u'C00299': 1, u'C00042': 1}",-452.88,4.96,-452.88,-60.93,C00007 + C00026 + C00526 <=> C00011 + C00042 + C00299
