,reaction_id,galactose,acetate,pyruvate,glycerol,fructose,succinate,glucose
133,3OAS181,0.0001909124,0.0001163825,0.0001367288,0.0001754018,0.0001661267,0.0001843302,0.0001461794
134,3OAS60,0.0013541647,0.0011355957,0.0013476003,0.0013093018,0.0010649728,0.0013609017,0.0011630229
135,3OAS80,0.0013541647,0.0011355957,0.0013476003,0.0013093018,0.0010649728,0.0013609017,0.0011630229
136,3OXCOAT,5.62160943527e-07,1.20889295753e-06,8.16053617878e-07,1e-06,7.19419926e-07,4.40313141057e-07,1.3183612326e-06
137,3PEPTabcpp,3.64806105724e-05,2.05829914371e-05,3.63293843211e-05,3.18738943575e-05,3.31704292901e-05,4.17222746717e-05,2.8709833709e-05
138,3PEPTtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
139,3PEPTtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
140,3UMPtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
141,3UMPtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
142,42A12BOOXpp,,,,,,,
143,4HOXPACDtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
144,4HOXPACDtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
145,4HTHRS,0.0005015787,0.0005773409,0.0018621226,0.0009976204,0.0011618796,0.0009296521,0.001219487
146,4PCP,6.79160992644e-06,6.17921591784e-06,5.36056895231e-06,5.2983123427e-06,4.94750322089e-06,5.29844625758e-06,6.37342770784e-06
147,4PCPpp,,,,,,,
148,4PEPTabcpp,0.000619965343158,0.00040506140147,0.000700447784321,0.000600370699116,0.000652253987624,0.000799751631655,0.000642524058893
149,4PEPTtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
150,4PEPTtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
151,5DGLCNR,1.80668070987e-05,2.358e-05,2.46411869119e-05,2.02348243309e-05,,2.17122875396e-05,2.93345742335e-05
152,5DGLCNR_reverse,1.80668070987e-05,2.358e-05,2.46411869119e-05,2.02348243309e-05,,2.17122875396e-05,2.93345742335e-05
153,5DGLCNt2rpp,,,,,,,
154,5DGLCNt2rpp_reverse,,,,,,,
155,5DGLCNtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
156,5DGLCNtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
157,5DOAN,0.0001197022,7.21531591514e-05,9.65181722475e-05,9.26596258397e-05,0.000103768,9.8102e-05,9.40520915412e-05
158,5MTRtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
159,5MTRtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
160,5MTRtpp,,,,,,,
161,A5PISO,6.317e-06,9.21316234442e-06,1.05576967435e-05,1.03393523327e-05,6.2512035846e-06,7.19799737299e-06,8.53889581843e-06
162,A5PISO_reverse,6.317e-06,9.21316234442e-06,1.05576967435e-05,1.03393523327e-05,6.2512035846e-06,7.19799737299e-06,8.53889581843e-06
163,AACPS1,0.000505037356112,0.000289651034417,0.000428474115925,0.00047637409429,0.000454261260081,0.000501385791071,0.00044397264549
164,AACPS2,0.000505037356112,0.000289651034417,0.000428474115925,0.00047637409429,0.000454261260081,0.000501385791071,0.00044397264549
165,AACPS3,0.000505037356112,0.000289651034417,0.000428474115925,0.00047637409429,0.000454261260081,0.000501385791071,0.00044397264549
166,AACPS4,0.000505037356112,0.000289651034417,0.000428474115925,0.00047637409429,0.000454261260081,0.000501385791071,0.00044397264549
167,AACPS5,0.000505037356112,0.000289651034417,0.000428474115925,0.00047637409429,0.000454261260081,0.000501385791071,0.00044397264549
168,AACPS6,0.000505037356112,0.000289651034417,0.000428474115925,0.00047637409429,0.000454261260081,0.000501385791071,0.00044397264549
169,AACPS7,0.000505037356112,0.000289651034417,0.000428474115925,0.00047637409429,0.000454261260081,0.000501385791071,0.00044397264549
170,AACPS8,0.000505037356112,0.000289651034417,0.000428474115925,0.00047637409429,0.000454261260081,0.000501385791071,0.00044397264549
171,AACPS9,0.000505037356112,0.000289651034417,0.000428474115925,0.00047637409429,0.000454261260081,0.000501385791071,0.00044397264549
172,AACTOOR,,,,,,,
173,AADDGT,4.17324205465e-07,2.78295259468e-07,3.95908348677e-07,5.32159864805e-07,6.68073230488e-07,4.55e-07,3.55711508131e-07
174,AAMYL,2.13576166869e-05,1.40435064178e-05,1.13330960483e-05,1.97239151146e-05,1.56437178251e-05,1.7261821379e-05,1.0921663545e-05
175,AAMYLpp,5.77512085366e-07,4.8368604663e-07,5.63858665318e-07,5.75807758656e-07,,6.63e-07,3.08678813499e-06
176,AB6PGH,3.73467214025e-05,3.34544567126e-05,4.44784275229e-05,3.89952491404e-05,2.9144e-05,3.11377947203e-05,3.61735756486e-05
177,ABTA,0.000157758897132,0.000106694274016,0.000142345858146,0.00011493081651,7.52865541171e-05,7.96679272362e-05,5.19057813215e-05
178,ABUTD,0.0002355295,5.71181882797e-05,0.0001210671,0.0001223754,2.8034294332e-05,0.0001890058,2.81579106279e-05
179,ABUTt2pp,,,,,,,
180,ABUTtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
181,ABUTtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
182,ACACCT,,,,,,,
183,ACACT1r,0.000127965430263,8.79402722395e-05,0.000100219978627,4.43724259958e-05,3.1883787857e-05,8.376541553e-05,3.26085338272e-05
184,ACACT1r_reverse,0.000127965430263,8.79402722395e-05,0.000100219978627,4.43724259958e-05,3.1883787857e-05,8.376541553e-05,3.26085338272e-05
185,ACACT2r,0.000127965430263,8.79402722395e-05,0.000100219978627,4.43724259958e-05,3.1883787857e-05,8.376541553e-05,3.26085338272e-05
186,ACACT2r_reverse,0.000127965430263,8.79402722395e-05,0.000100219978627,4.43724259958e-05,3.1883787857e-05,8.376541553e-05,3.26085338272e-05
187,ACACT3r,0.000127965430263,8.79402722395e-05,0.000100219978627,4.43724259958e-05,3.1883787857e-05,8.376541553e-05,3.26085338272e-05
188,ACACT3r_reverse,0.000127965430263,8.79402722395e-05,0.000100219978627,4.43724259958e-05,3.1883787857e-05,8.376541553e-05,3.26085338272e-05
189,ACACT4r,0.000127965430263,8.79402722395e-05,0.000100219978627,4.43724259958e-05,3.1883787857e-05,8.376541553e-05,3.26085338272e-05
190,ACACT4r_reverse,0.000127965430263,8.79402722395e-05,0.000100219978627,4.43724259958e-05,3.1883787857e-05,8.376541553e-05,3.26085338272e-05
191,ACACT5r,0.000127965430263,8.79402722395e-05,0.000100219978627,4.43724259958e-05,3.1883787857e-05,8.376541553e-05,3.26085338272e-05
192,ACACT5r_reverse,0.000127965430263,8.79402722395e-05,0.000100219978627,4.43724259958e-05,3.1883787857e-05,8.376541553e-05,3.26085338272e-05
193,ACACT6r,0.000127965430263,8.79402722395e-05,0.000100219978627,4.43724259958e-05,3.1883787857e-05,8.376541553e-05,3.26085338272e-05
194,ACACT6r_reverse,0.000127965430263,8.79402722395e-05,0.000100219978627,4.43724259958e-05,3.1883787857e-05,8.376541553e-05,3.26085338272e-05
195,ACACT7r,0.000127965430263,8.79402722395e-05,0.000100219978627,4.43724259958e-05,3.1883787857e-05,8.376541553e-05,3.26085338272e-05
196,ACACT7r_reverse,0.000127965430263,8.79402722395e-05,0.000100219978627,4.43724259958e-05,3.1883787857e-05,8.376541553e-05,3.26085338272e-05
197,ACACT8r,0.000127965430263,8.79402722395e-05,0.000100219978627,4.43724259958e-05,3.1883787857e-05,8.376541553e-05,3.26085338272e-05
198,ACACT8r_reverse,0.000127965430263,8.79402722395e-05,0.000100219978627,4.43724259958e-05,3.1883787857e-05,8.376541553e-05,3.26085338272e-05
199,ACACt2pp,,,,,,,
200,ACACt2pp_reverse,,,,,,,
201,ACACtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
202,ACACtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
203,ACALD,0.00138847718534,0.000954202458403,0.000642525088111,0.000956271210884,0.0032673973,0.000768634854567,0.000841427209631
204,ACALD_reverse,0.00138847718534,0.000954202458403,0.000642525088111,0.000956271210884,0.0032673973,0.000768634854567,0.000841427209631
